sku,meta:_sku,post_title,post_status,post_type,Type: product_type,tax:product_type,tax:product_cat,tax:product_tag,regular_price,sale_price,meta:_price,manage_stock,stock_status,images,attribute:pa_style,attribute_default:pa_style,attribute_data:pa_style,attribute:pa_sex,attribute_default:pa_sex,attribute_data:pa_sex,attribute:pa_color,attribute_default:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_default:pa_size,attribute_data:pa_size,attribute:pa_material,attribute_data:pa_material,attribute:pa_print,attribute_data:pa_print,attribute:pa_wash,attribute_data:pa_wash,attribute:pa_default_style,attribute_data:pa_default_style,meta:_wc_average_rating,meta:_wc_rating_count,meta:_wc_review_count,meta:_stock_status,post_content,post_excerpt
ART-0169-TS,ART-0169-TS,لئونارد کوهن ۲ (Leonard Cohen),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>بلوز و کانتری,#بلوز_کانتری|#لئونارد_کوهن|#Leonard_Cohen,120000,,120000,no,instock,ART-0169-TS-color1.jpg|ART-0169-TS-color1-men.jpg|ART-0169-TS-color1-women.jpg|ART-0169-TS-color2.jpg|ART-0169-TS-color2-men.jpg|ART-0169-TS-color2-women.jpg|ART-0169-TS-color3.jpg|ART-0169-TS-color3-men.jpg|ART-0169-TS-color3-women.jpg|ART-0169-TS-color4.jpg|ART-0169-TS-color4-men.jpg|ART-0169-TS-color4-women.jpg|ART-0169-TS-color5.jpg|ART-0169-TS-color5-men.jpg|ART-0169-TS-color5-women.jpg|ART-0169-TS-color6.jpg|ART-0169-TS-color6-men.jpg|ART-0169-TS-color6-women.jpg|ART-0169-TS-color7.jpg|ART-0169-TS-color7-men.jpg|ART-0169-TS-color7-women.jpg|ART-0169-HD-color8.jpg|ART-0169-HD-color8-men.jpg|ART-0169-HD-color8-women.jpg|ART-0169-HD-color2.jpg|ART-0169-HD-color2-men.jpg|ART-0169-HD-color2-women.jpg|ART-0169-HD-color5.jpg|ART-0169-HD-color5-men.jpg|ART-0169-HD-color5-women.jpg|ART-0169-HD-color9.jpg|ART-0169-HD-color9-men.jpg|ART-0169-HD-color9-women.jpg|ART-0169-HD-color10.jpg|ART-0169-HD-color10-men.jpg|ART-0169-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,سفید,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,5.0,8,8,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0170-TS,ART-0170-TS,هاگارد ۱ (Merle Haggard),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>بلوز و کانتری,#بلوز_کانتری|#هاگارد|#Merle_Haggard,120000,,120000,no,instock,ART-0170-TS-color1.jpg|ART-0170-TS-color1-men.jpg|ART-0170-TS-color1-women.jpg|ART-0170-TS-color2.jpg|ART-0170-TS-color2-men.jpg|ART-0170-TS-color2-women.jpg|ART-0170-TS-color3.jpg|ART-0170-TS-color3-men.jpg|ART-0170-TS-color3-women.jpg|ART-0170-TS-color4.jpg|ART-0170-TS-color4-men.jpg|ART-0170-TS-color4-women.jpg|ART-0170-TS-color5.jpg|ART-0170-TS-color5-men.jpg|ART-0170-TS-color5-women.jpg|ART-0170-TS-color6.jpg|ART-0170-TS-color6-men.jpg|ART-0170-TS-color6-women.jpg|ART-0170-TS-color7.jpg|ART-0170-TS-color7-men.jpg|ART-0170-TS-color7-women.jpg|ART-0170-HD-color8.jpg|ART-0170-HD-color8-men.jpg|ART-0170-HD-color8-women.jpg|ART-0170-HD-color2.jpg|ART-0170-HD-color2-men.jpg|ART-0170-HD-color2-women.jpg|ART-0170-HD-color5.jpg|ART-0170-HD-color5-men.jpg|ART-0170-HD-color5-women.jpg|ART-0170-HD-color9.jpg|ART-0170-HD-color9-men.jpg|ART-0170-HD-color9-women.jpg|ART-0170-HD-color10.jpg|ART-0170-HD-color10-men.jpg|ART-0170-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,سفید,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.2,5,5,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0172-TS,ART-0172-TS,استیو ری وگن ۱ (Stevie Ray Vaughan),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>بلوز و کانتری,#بلوز_کانتری|#استیو_ری_وگن|#Stevie_Ray_Vaughan,120000,,120000,no,instock,ART-0172-TS-color1.jpg|ART-0172-TS-color1-men.jpg|ART-0172-TS-color1-women.jpg|ART-0172-TS-color2.jpg|ART-0172-TS-color2-men.jpg|ART-0172-TS-color2-women.jpg|ART-0172-TS-color3.jpg|ART-0172-TS-color3-men.jpg|ART-0172-TS-color3-women.jpg|ART-0172-TS-color4.jpg|ART-0172-TS-color4-men.jpg|ART-0172-TS-color4-women.jpg|ART-0172-TS-color5.jpg|ART-0172-TS-color5-men.jpg|ART-0172-TS-color5-women.jpg|ART-0172-TS-color6.jpg|ART-0172-TS-color6-men.jpg|ART-0172-TS-color6-women.jpg|ART-0172-TS-color7.jpg|ART-0172-TS-color7-men.jpg|ART-0172-TS-color7-women.jpg|ART-0172-HD-color8.jpg|ART-0172-HD-color8-men.jpg|ART-0172-HD-color8-women.jpg|ART-0172-HD-color2.jpg|ART-0172-HD-color2-men.jpg|ART-0172-HD-color2-women.jpg|ART-0172-HD-color5.jpg|ART-0172-HD-color5-men.jpg|ART-0172-HD-color5-women.jpg|ART-0172-HD-color9.jpg|ART-0172-HD-color9-men.jpg|ART-0172-HD-color9-women.jpg|ART-0172-HD-color10.jpg|ART-0172-HD-color10-men.jpg|ART-0172-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,سبز خاکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.2,4,4,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0173-TS,ART-0173-TS,آنتونیو ویوالدی ۱ (Antonio Vivaldi),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#آنتونیو_ویوالدی|#Antonio_Vivaldi,120000,,120000,no,instock,ART-0173-TS-color1.jpg|ART-0173-TS-color1-men.jpg|ART-0173-TS-color1-women.jpg|ART-0173-TS-color2.jpg|ART-0173-TS-color2-men.jpg|ART-0173-TS-color2-women.jpg|ART-0173-TS-color3.jpg|ART-0173-TS-color3-men.jpg|ART-0173-TS-color3-women.jpg|ART-0173-TS-color4.jpg|ART-0173-TS-color4-men.jpg|ART-0173-TS-color4-women.jpg|ART-0173-TS-color5.jpg|ART-0173-TS-color5-men.jpg|ART-0173-TS-color5-women.jpg|ART-0173-TS-color6.jpg|ART-0173-TS-color6-men.jpg|ART-0173-TS-color6-women.jpg|ART-0173-TS-color7.jpg|ART-0173-TS-color7-men.jpg|ART-0173-TS-color7-women.jpg|ART-0173-HD-color8.jpg|ART-0173-HD-color8-men.jpg|ART-0173-HD-color8-women.jpg|ART-0173-HD-color2.jpg|ART-0173-HD-color2-men.jpg|ART-0173-HD-color2-women.jpg|ART-0173-HD-color5.jpg|ART-0173-HD-color5-men.jpg|ART-0173-HD-color5-women.jpg|ART-0173-HD-color9.jpg|ART-0173-HD-color9-men.jpg|ART-0173-HD-color9-women.jpg|ART-0173-HD-color10.jpg|ART-0173-HD-color10-men.jpg|ART-0173-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.7,8,8,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0174-TS,ART-0174-TS,آنتونیو ویوالدی ۲ (Antonio Vivaldi),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#آنتونیو_ویوالدی|#Antonio_Vivaldi,120000,,120000,no,instock,ART-0174-TS-color1.jpg|ART-0174-TS-color1-men.jpg|ART-0174-TS-color1-women.jpg|ART-0174-TS-color2.jpg|ART-0174-TS-color2-men.jpg|ART-0174-TS-color2-women.jpg|ART-0174-TS-color3.jpg|ART-0174-TS-color3-men.jpg|ART-0174-TS-color3-women.jpg|ART-0174-TS-color4.jpg|ART-0174-TS-color4-men.jpg|ART-0174-TS-color4-women.jpg|ART-0174-TS-color5.jpg|ART-0174-TS-color5-men.jpg|ART-0174-TS-color5-women.jpg|ART-0174-TS-color6.jpg|ART-0174-TS-color6-men.jpg|ART-0174-TS-color6-women.jpg|ART-0174-TS-color7.jpg|ART-0174-TS-color7-men.jpg|ART-0174-TS-color7-women.jpg|ART-0174-HD-color8.jpg|ART-0174-HD-color8-men.jpg|ART-0174-HD-color8-women.jpg|ART-0174-HD-color2.jpg|ART-0174-HD-color2-men.jpg|ART-0174-HD-color2-women.jpg|ART-0174-HD-color5.jpg|ART-0174-HD-color5-men.jpg|ART-0174-HD-color5-women.jpg|ART-0174-HD-color9.jpg|ART-0174-HD-color9-men.jpg|ART-0174-HD-color9-women.jpg|ART-0174-HD-color10.jpg|ART-0174-HD-color10-men.jpg|ART-0174-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.8,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0175-TS,ART-0175-TS,شوبرت (Franz Schubert),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#شوبرت|#Franz_Schubert,120000,,120000,no,instock,ART-0175-TS-color1.jpg|ART-0175-TS-color1-men.jpg|ART-0175-TS-color1-women.jpg|ART-0175-TS-color2.jpg|ART-0175-TS-color2-men.jpg|ART-0175-TS-color2-women.jpg|ART-0175-TS-color3.jpg|ART-0175-TS-color3-men.jpg|ART-0175-TS-color3-women.jpg|ART-0175-TS-color4.jpg|ART-0175-TS-color4-men.jpg|ART-0175-TS-color4-women.jpg|ART-0175-TS-color5.jpg|ART-0175-TS-color5-men.jpg|ART-0175-TS-color5-women.jpg|ART-0175-TS-color6.jpg|ART-0175-TS-color6-men.jpg|ART-0175-TS-color6-women.jpg|ART-0175-TS-color7.jpg|ART-0175-TS-color7-men.jpg|ART-0175-TS-color7-women.jpg|ART-0175-HD-color8.jpg|ART-0175-HD-color8-men.jpg|ART-0175-HD-color8-women.jpg|ART-0175-HD-color2.jpg|ART-0175-HD-color2-men.jpg|ART-0175-HD-color2-women.jpg|ART-0175-HD-color5.jpg|ART-0175-HD-color5-men.jpg|ART-0175-HD-color5-women.jpg|ART-0175-HD-color9.jpg|ART-0175-HD-color9-men.jpg|ART-0175-HD-color9-women.jpg|ART-0175-HD-color10.jpg|ART-0175-HD-color10-men.jpg|ART-0175-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,زرد,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,5.0,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0176-TS,ART-0176-TS,چوپن (Frédéric Chopint),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#چوپن|#Frédéric_Chopint,120000,,120000,no,instock,ART-0176-TS-color1.jpg|ART-0176-TS-color1-men.jpg|ART-0176-TS-color1-women.jpg|ART-0176-TS-color2.jpg|ART-0176-TS-color2-men.jpg|ART-0176-TS-color2-women.jpg|ART-0176-TS-color3.jpg|ART-0176-TS-color3-men.jpg|ART-0176-TS-color3-women.jpg|ART-0176-TS-color4.jpg|ART-0176-TS-color4-men.jpg|ART-0176-TS-color4-women.jpg|ART-0176-TS-color5.jpg|ART-0176-TS-color5-men.jpg|ART-0176-TS-color5-women.jpg|ART-0176-TS-color6.jpg|ART-0176-TS-color6-men.jpg|ART-0176-TS-color6-women.jpg|ART-0176-TS-color7.jpg|ART-0176-TS-color7-men.jpg|ART-0176-TS-color7-women.jpg|ART-0176-HD-color8.jpg|ART-0176-HD-color8-men.jpg|ART-0176-HD-color8-women.jpg|ART-0176-HD-color2.jpg|ART-0176-HD-color2-men.jpg|ART-0176-HD-color2-women.jpg|ART-0176-HD-color5.jpg|ART-0176-HD-color5-men.jpg|ART-0176-HD-color5-women.jpg|ART-0176-HD-color9.jpg|ART-0176-HD-color9-men.jpg|ART-0176-HD-color9-women.jpg|ART-0176-HD-color10.jpg|ART-0176-HD-color10-men.jpg|ART-0176-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,زرد,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.6,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0177-TS,ART-0177-TS,جوزف وردی (Giuseppe Verdi),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#جوزف_وردی|#Giuseppe_Verdi,120000,,120000,no,instock,ART-0177-TS-color1.jpg|ART-0177-TS-color1-men.jpg|ART-0177-TS-color1-women.jpg|ART-0177-TS-color2.jpg|ART-0177-TS-color2-men.jpg|ART-0177-TS-color2-women.jpg|ART-0177-TS-color3.jpg|ART-0177-TS-color3-men.jpg|ART-0177-TS-color3-women.jpg|ART-0177-TS-color4.jpg|ART-0177-TS-color4-men.jpg|ART-0177-TS-color4-women.jpg|ART-0177-TS-color5.jpg|ART-0177-TS-color5-men.jpg|ART-0177-TS-color5-women.jpg|ART-0177-TS-color6.jpg|ART-0177-TS-color6-men.jpg|ART-0177-TS-color6-women.jpg|ART-0177-TS-color7.jpg|ART-0177-TS-color7-men.jpg|ART-0177-TS-color7-women.jpg|ART-0177-HD-color8.jpg|ART-0177-HD-color8-men.jpg|ART-0177-HD-color8-women.jpg|ART-0177-HD-color2.jpg|ART-0177-HD-color2-men.jpg|ART-0177-HD-color2-women.jpg|ART-0177-HD-color5.jpg|ART-0177-HD-color5-men.jpg|ART-0177-HD-color5-women.jpg|ART-0177-HD-color9.jpg|ART-0177-HD-color9-men.jpg|ART-0177-HD-color9-women.jpg|ART-0177-HD-color10.jpg|ART-0177-HD-color10-men.jpg|ART-0177-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,سبز خاکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.9,5,5,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0178-TS,ART-0178-TS,استراوینسکی ۱ (Igor Stravinsky),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#استراوینسکی|#Igor_Stravinsky,120000,,120000,no,instock,ART-0178-TS-color1.jpg|ART-0178-TS-color1-men.jpg|ART-0178-TS-color1-women.jpg|ART-0178-TS-color2.jpg|ART-0178-TS-color2-men.jpg|ART-0178-TS-color2-women.jpg|ART-0178-TS-color3.jpg|ART-0178-TS-color3-men.jpg|ART-0178-TS-color3-women.jpg|ART-0178-TS-color4.jpg|ART-0178-TS-color4-men.jpg|ART-0178-TS-color4-women.jpg|ART-0178-TS-color5.jpg|ART-0178-TS-color5-men.jpg|ART-0178-TS-color5-women.jpg|ART-0178-TS-color6.jpg|ART-0178-TS-color6-men.jpg|ART-0178-TS-color6-women.jpg|ART-0178-TS-color7.jpg|ART-0178-TS-color7-men.jpg|ART-0178-TS-color7-women.jpg|ART-0178-HD-color8.jpg|ART-0178-HD-color8-men.jpg|ART-0178-HD-color8-women.jpg|ART-0178-HD-color2.jpg|ART-0178-HD-color2-men.jpg|ART-0178-HD-color2-women.jpg|ART-0178-HD-color5.jpg|ART-0178-HD-color5-men.jpg|ART-0178-HD-color5-women.jpg|ART-0178-HD-color9.jpg|ART-0178-HD-color9-men.jpg|ART-0178-HD-color9-women.jpg|ART-0178-HD-color10.jpg|ART-0178-HD-color10-men.jpg|ART-0178-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.2,6,6,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0179-TS,ART-0179-TS,استراوینسکی ۲ (Igor Stravinsky),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#استراوینسکی|#Igor_Stravinsky,120000,,120000,no,instock,ART-0179-TS-color1.jpg|ART-0179-TS-color1-men.jpg|ART-0179-TS-color1-women.jpg|ART-0179-TS-color2.jpg|ART-0179-TS-color2-men.jpg|ART-0179-TS-color2-women.jpg|ART-0179-TS-color3.jpg|ART-0179-TS-color3-men.jpg|ART-0179-TS-color3-women.jpg|ART-0179-TS-color4.jpg|ART-0179-TS-color4-men.jpg|ART-0179-TS-color4-women.jpg|ART-0179-TS-color5.jpg|ART-0179-TS-color5-men.jpg|ART-0179-TS-color5-women.jpg|ART-0179-TS-color6.jpg|ART-0179-TS-color6-men.jpg|ART-0179-TS-color6-women.jpg|ART-0179-TS-color7.jpg|ART-0179-TS-color7-men.jpg|ART-0179-TS-color7-women.jpg|ART-0179-HD-color8.jpg|ART-0179-HD-color8-men.jpg|ART-0179-HD-color8-women.jpg|ART-0179-HD-color2.jpg|ART-0179-HD-color2-men.jpg|ART-0179-HD-color2-women.jpg|ART-0179-HD-color5.jpg|ART-0179-HD-color5-men.jpg|ART-0179-HD-color5-women.jpg|ART-0179-HD-color9.jpg|ART-0179-HD-color9-men.jpg|ART-0179-HD-color9-women.jpg|ART-0179-HD-color10.jpg|ART-0179-HD-color10-men.jpg|ART-0179-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,سبز خاکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,5.0,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0180-TS,ART-0180-TS,سباستین باخ ۱ (Johann Sebastian Bach),publish,product,product,variable,موزیک باز>ژانرهای موسیقی>کلاسیک,#کلاسیک|#سباستین_باخ|#Johann_Sebastian_Bach,120000,,120000,no,instock,ART-0180-TS-color1.jpg|ART-0180-TS-color1-men.jpg|ART-0180-TS-color1-women.jpg|ART-0180-TS-color2.jpg|ART-0180-TS-color2-men.jpg|ART-0180-TS-color2-women.jpg|ART-0180-TS-color3.jpg|ART-0180-TS-color3-men.jpg|ART-0180-TS-color3-women.jpg|ART-0180-TS-color4.jpg|ART-0180-TS-color4-men.jpg|ART-0180-TS-color4-women.jpg|ART-0180-TS-color5.jpg|ART-0180-TS-color5-men.jpg|ART-0180-TS-color5-women.jpg|ART-0180-TS-color6.jpg|ART-0180-TS-color6-men.jpg|ART-0180-TS-color6-women.jpg|ART-0180-TS-color7.jpg|ART-0180-TS-color7-men.jpg|ART-0180-TS-color7-women.jpg|ART-0180-HD-color8.jpg|ART-0180-HD-color8-men.jpg|ART-0180-HD-color8-women.jpg|ART-0180-HD-color2.jpg|ART-0180-HD-color2-men.jpg|ART-0180-HD-color2-women.jpg|ART-0180-HD-color5.jpg|ART-0180-HD-color5-men.jpg|ART-0180-HD-color5-women.jpg|ART-0180-HD-color9.jpg|ART-0180-HD-color9-men.jpg|ART-0180-HD-color9-women.jpg|ART-0180-HD-color10.jpg|ART-0180-HD-color10-men.jpg|ART-0180-HD-color10-women.jpg,تیشرت|هودی,تیشرت,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,سفید|مشکی|خاکستری|آبی|زرشکی|زرد|سبز خاکی,خاکستری,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,تیشرت,8|1|0,4.5,5,5,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس  ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
