sku,meta:_sku,post_title,post_status,post_type,Type: product_type,tax:product_type,tax:product_cat,tax:product_tag,regular_price,sale_price,meta:_price,manage_stock,stock_status,images,attribute:pa_style,attribute_default:pa_style,attribute_data:pa_style,attribute:pa_sex,attribute_default:pa_sex,attribute_data:pa_sex,attribute:pa_color,attribute_default:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_default:pa_size,attribute_data:pa_size,attribute:pa_material,attribute_data:pa_material,attribute:pa_print,attribute_data:pa_print,attribute:pa_wash,attribute_data:pa_wash,attribute:pa_default_style,attribute_data:pa_default_style,meta:_wc_average_rating,meta:_wc_rating_count,meta:_wc_review_count,meta:_stock_status,post_content,post_excerpt
ART-0001-HD,ART-0001-HD,سگ گرم جذاب,publish,product,product,variable,حیوانات جذاب>سگ,#سگ|#عینک,120000,,120000,no,instock,ART-0001-TS-color1.jpg|ART-0001-TS-color1-men.jpg|ART-0001-TS-color1-women.jpg|ART-0001-TS-color2.jpg|ART-0001-TS-color2-men.jpg|ART-0001-TS-color2-women.jpg|ART-0001-TS-color4.jpg|ART-0001-TS-color4-men.jpg|ART-0001-TS-color4-women.jpg|ART-0001-TS-color5.jpg|ART-0001-TS-color5-men.jpg|ART-0001-TS-color5-women.jpg|ART-0001-TS-color7.jpg|ART-0001-TS-color7-men.jpg|ART-0001-TS-color7-women.jpg|ART-0001-HD-color8.jpg|ART-0001-HD-color8-men.jpg|ART-0001-HD-color8-women.jpg|ART-0001-HD-color2.jpg|ART-0001-HD-color2-men.jpg|ART-0001-HD-color2-women.jpg|ART-0001-HD-color5.jpg|ART-0001-HD-color5-men.jpg|ART-0001-HD-color5-women.jpg|ART-0001-HD-color9.jpg|ART-0001-HD-color9-men.jpg|ART-0001-HD-color9-women.jpg|ART-0001-HD-color10.jpg|ART-0001-HD-color10-men.jpg|ART-0001-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|آبی|سبز خاکی,زرشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.1,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0002-HD,ART-0002-HD,نخل روییده از مرگ,publish,product,product,variable,انتزاعی و سورئال>اسکلت,#آناناس|#اسکلت|#موج|#درخت|#نخل,120000,,120000,no,instock,ART-0002-TS-color1.jpg|ART-0002-TS-color1-men.jpg|ART-0002-TS-color1-women.jpg|ART-0002-TS-color2.jpg|ART-0002-TS-color2-men.jpg|ART-0002-TS-color2-women.jpg|ART-0002-TS-color3.jpg|ART-0002-TS-color3-men.jpg|ART-0002-TS-color3-women.jpg|ART-0002-TS-color4.jpg|ART-0002-TS-color4-men.jpg|ART-0002-TS-color4-women.jpg|ART-0002-TS-color5.jpg|ART-0002-TS-color5-men.jpg|ART-0002-TS-color5-women.jpg|ART-0002-TS-color6.jpg|ART-0002-TS-color6-men.jpg|ART-0002-TS-color6-women.jpg|ART-0002-TS-color7.jpg|ART-0002-TS-color7-men.jpg|ART-0002-TS-color7-women.jpg|ART-0002-HD-color8.jpg|ART-0002-HD-color8-men.jpg|ART-0002-HD-color8-women.jpg|ART-0002-HD-color2.jpg|ART-0002-HD-color2-men.jpg|ART-0002-HD-color2-women.jpg|ART-0002-HD-color5.jpg|ART-0002-HD-color5-men.jpg|ART-0002-HD-color5-women.jpg|ART-0002-HD-color9.jpg|ART-0002-HD-color9-men.jpg|ART-0002-HD-color9-women.jpg|ART-0002-HD-color10.jpg|ART-0002-HD-color10-men.jpg|ART-0002-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.8,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0003-HD,ART-0003-HD,گل و اسکلت,publish,product,product,variable,انتزاعی و سورئال>اسکلت,#گل|#اسکلت,120000,,120000,no,instock,ART-0003-TS-color1.jpg|ART-0003-TS-color1-men.jpg|ART-0003-TS-color1-women.jpg|ART-0003-TS-color2.jpg|ART-0003-TS-color2-men.jpg|ART-0003-TS-color2-women.jpg|ART-0003-TS-color3.jpg|ART-0003-TS-color3-men.jpg|ART-0003-TS-color3-women.jpg|ART-0003-TS-color4.jpg|ART-0003-TS-color4-men.jpg|ART-0003-TS-color4-women.jpg|ART-0003-TS-color5.jpg|ART-0003-TS-color5-men.jpg|ART-0003-TS-color5-women.jpg|ART-0003-TS-color6.jpg|ART-0003-TS-color6-men.jpg|ART-0003-TS-color6-women.jpg|ART-0003-TS-color7.jpg|ART-0003-TS-color7-men.jpg|ART-0003-TS-color7-women.jpg|ART-0003-HD-color8.jpg|ART-0003-HD-color8-men.jpg|ART-0003-HD-color8-women.jpg|ART-0003-HD-color2.jpg|ART-0003-HD-color2-men.jpg|ART-0003-HD-color2-women.jpg|ART-0003-HD-color5.jpg|ART-0003-HD-color5-men.jpg|ART-0003-HD-color5-women.jpg|ART-0003-HD-color9.jpg|ART-0003-HD-color9-men.jpg|ART-0003-HD-color9-women.jpg|ART-0003-HD-color10.jpg|ART-0003-HD-color10-men.jpg|ART-0003-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.0,7,7,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0004-HD,ART-0004-HD,زوزه گرگ,publish,product,product,variable,حیوانات جذاب>غیره,#زوزه|#گرگ,120000,,120000,no,instock,ART-0004-TS-color1.jpg|ART-0004-TS-color1-men.jpg|ART-0004-TS-color1-women.jpg|ART-0004-TS-color2.jpg|ART-0004-TS-color2-men.jpg|ART-0004-TS-color2-women.jpg|ART-0004-TS-color3.jpg|ART-0004-TS-color3-men.jpg|ART-0004-TS-color3-women.jpg|ART-0004-TS-color4.jpg|ART-0004-TS-color4-men.jpg|ART-0004-TS-color4-women.jpg|ART-0004-TS-color5.jpg|ART-0004-TS-color5-men.jpg|ART-0004-TS-color5-women.jpg|ART-0004-TS-color6.jpg|ART-0004-TS-color6-men.jpg|ART-0004-TS-color6-women.jpg|ART-0004-TS-color7.jpg|ART-0004-TS-color7-men.jpg|ART-0004-TS-color7-women.jpg|ART-0004-HD-color8.jpg|ART-0004-HD-color8-men.jpg|ART-0004-HD-color8-women.jpg|ART-0004-HD-color2.jpg|ART-0004-HD-color2-men.jpg|ART-0004-HD-color2-women.jpg|ART-0004-HD-color5.jpg|ART-0004-HD-color5-men.jpg|ART-0004-HD-color5-women.jpg|ART-0004-HD-color9.jpg|ART-0004-HD-color9-men.jpg|ART-0004-HD-color9-women.jpg|ART-0004-HD-color10.jpg|ART-0004-HD-color10-men.jpg|ART-0004-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,نارنجی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.1,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0006-HD,ART-0006-HD,Scabbard,publish,product,product,variable,ورزش و بازی>گیمرهای گیک,#گیمینگ,120000,,120000,no,instock,ART-0006-TS-color1.jpg|ART-0006-TS-color1-men.jpg|ART-0006-TS-color1-women.jpg|ART-0006-TS-color2.jpg|ART-0006-TS-color2-men.jpg|ART-0006-TS-color2-women.jpg|ART-0006-TS-color3.jpg|ART-0006-TS-color3-men.jpg|ART-0006-TS-color3-women.jpg|ART-0006-TS-color4.jpg|ART-0006-TS-color4-men.jpg|ART-0006-TS-color4-women.jpg|ART-0006-TS-color5.jpg|ART-0006-TS-color5-men.jpg|ART-0006-TS-color5-women.jpg|ART-0006-TS-color6.jpg|ART-0006-TS-color6-men.jpg|ART-0006-TS-color6-women.jpg|ART-0006-TS-color7.jpg|ART-0006-TS-color7-men.jpg|ART-0006-TS-color7-women.jpg|ART-0006-HD-color8.jpg|ART-0006-HD-color8-men.jpg|ART-0006-HD-color8-women.jpg|ART-0006-HD-color2.jpg|ART-0006-HD-color2-men.jpg|ART-0006-HD-color2-women.jpg|ART-0006-HD-color5.jpg|ART-0006-HD-color5-men.jpg|ART-0006-HD-color5-women.jpg|ART-0006-HD-color9.jpg|ART-0006-HD-color9-men.jpg|ART-0006-HD-color9-women.jpg|ART-0006-HD-color10.jpg|ART-0006-HD-color10-men.jpg|ART-0006-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,5.0,10,10,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0007-HD,ART-0007-HD,هدفون,publish,product,product,variable,موزیک باز>غیره,#هدفون,120000,,120000,no,instock,ART-0007-TS-color1.jpg|ART-0007-TS-color1-men.jpg|ART-0007-TS-color1-women.jpg|ART-0007-TS-color2.jpg|ART-0007-TS-color2-men.jpg|ART-0007-TS-color2-women.jpg|ART-0007-TS-color3.jpg|ART-0007-TS-color3-men.jpg|ART-0007-TS-color3-women.jpg|ART-0007-TS-color4.jpg|ART-0007-TS-color4-men.jpg|ART-0007-TS-color4-women.jpg|ART-0007-TS-color5.jpg|ART-0007-TS-color5-men.jpg|ART-0007-TS-color5-women.jpg|ART-0007-TS-color6.jpg|ART-0007-TS-color6-men.jpg|ART-0007-TS-color6-women.jpg|ART-0007-TS-color7.jpg|ART-0007-TS-color7-men.jpg|ART-0007-TS-color7-women.jpg|ART-0007-HD-color8.jpg|ART-0007-HD-color8-men.jpg|ART-0007-HD-color8-women.jpg|ART-0007-HD-color2.jpg|ART-0007-HD-color2-men.jpg|ART-0007-HD-color2-women.jpg|ART-0007-HD-color5.jpg|ART-0007-HD-color5-men.jpg|ART-0007-HD-color5-women.jpg|ART-0007-HD-color9.jpg|ART-0007-HD-color9-men.jpg|ART-0007-HD-color9-women.jpg|ART-0007-HD-color10.jpg|ART-0007-HD-color10-men.jpg|ART-0007-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,مشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.5,3,3,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0008-HD,ART-0008-HD,دختر راک استار,publish,product,product,variable,موزیک باز>سازها,#دختر|#راک,120000,,120000,no,instock,ART-0008-TS-color1.jpg|ART-0008-TS-color1-men.jpg|ART-0008-TS-color1-women.jpg|ART-0008-TS-color2.jpg|ART-0008-TS-color2-men.jpg|ART-0008-TS-color2-women.jpg|ART-0008-TS-color3.jpg|ART-0008-TS-color3-men.jpg|ART-0008-TS-color3-women.jpg|ART-0008-TS-color4.jpg|ART-0008-TS-color4-men.jpg|ART-0008-TS-color4-women.jpg|ART-0008-TS-color5.jpg|ART-0008-TS-color5-men.jpg|ART-0008-TS-color5-women.jpg|ART-0008-TS-color6.jpg|ART-0008-TS-color6-men.jpg|ART-0008-TS-color6-women.jpg|ART-0008-TS-color7.jpg|ART-0008-TS-color7-men.jpg|ART-0008-TS-color7-women.jpg|ART-0008-HD-color8.jpg|ART-0008-HD-color8-men.jpg|ART-0008-HD-color8-women.jpg|ART-0008-HD-color2.jpg|ART-0008-HD-color2-men.jpg|ART-0008-HD-color2-women.jpg|ART-0008-HD-color5.jpg|ART-0008-HD-color5-men.jpg|ART-0008-HD-color5-women.jpg|ART-0008-HD-color9.jpg|ART-0008-HD-color9-men.jpg|ART-0008-HD-color9-women.jpg|ART-0008-HD-color10.jpg|ART-0008-HD-color10-men.jpg|ART-0008-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.3,9,9,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0009-HD,ART-0009-HD,دختر گرگ نما,publish,product,product,variable,حیوانات جذاب>غیره,#دختر|#اسکلت|#گرگ,120000,,120000,no,instock,ART-0009-TS-color1.jpg|ART-0009-TS-color1-men.jpg|ART-0009-TS-color1-women.jpg|ART-0009-TS-color2.jpg|ART-0009-TS-color2-men.jpg|ART-0009-TS-color2-women.jpg|ART-0009-TS-color3.jpg|ART-0009-TS-color3-men.jpg|ART-0009-TS-color3-women.jpg|ART-0009-TS-color4.jpg|ART-0009-TS-color4-men.jpg|ART-0009-TS-color4-women.jpg|ART-0009-TS-color5.jpg|ART-0009-TS-color5-men.jpg|ART-0009-TS-color5-women.jpg|ART-0009-TS-color6.jpg|ART-0009-TS-color6-men.jpg|ART-0009-TS-color6-women.jpg|ART-0009-TS-color7.jpg|ART-0009-TS-color7-men.jpg|ART-0009-TS-color7-women.jpg|ART-0009-HD-color8.jpg|ART-0009-HD-color8-men.jpg|ART-0009-HD-color8-women.jpg|ART-0009-HD-color2.jpg|ART-0009-HD-color2-men.jpg|ART-0009-HD-color2-women.jpg|ART-0009-HD-color5.jpg|ART-0009-HD-color5-men.jpg|ART-0009-HD-color5-women.jpg|ART-0009-HD-color9.jpg|ART-0009-HD-color9-men.jpg|ART-0009-HD-color9-women.jpg|ART-0009-HD-color10.jpg|ART-0009-HD-color10-men.jpg|ART-0009-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,ملانژ,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.1,2,2,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0010-HD,ART-0010-HD,سفر تابستونی با فولکس,publish,product,product,variable,طبیعت گردی>تابستان,#سفر|#ماشین,120000,,120000,no,instock,ART-0010-TS-color1.jpg|ART-0010-TS-color1-men.jpg|ART-0010-TS-color1-women.jpg|ART-0010-TS-color2.jpg|ART-0010-TS-color2-men.jpg|ART-0010-TS-color2-women.jpg|ART-0010-TS-color3.jpg|ART-0010-TS-color3-men.jpg|ART-0010-TS-color3-women.jpg|ART-0010-TS-color4.jpg|ART-0010-TS-color4-men.jpg|ART-0010-TS-color4-women.jpg|ART-0010-TS-color5.jpg|ART-0010-TS-color5-men.jpg|ART-0010-TS-color5-women.jpg|ART-0010-TS-color6.jpg|ART-0010-TS-color6-men.jpg|ART-0010-TS-color6-women.jpg|ART-0010-TS-color7.jpg|ART-0010-TS-color7-men.jpg|ART-0010-TS-color7-women.jpg|ART-0010-HD-color8.jpg|ART-0010-HD-color8-men.jpg|ART-0010-HD-color8-women.jpg|ART-0010-HD-color2.jpg|ART-0010-HD-color2-men.jpg|ART-0010-HD-color2-women.jpg|ART-0010-HD-color5.jpg|ART-0010-HD-color5-men.jpg|ART-0010-HD-color5-women.jpg|ART-0010-HD-color9.jpg|ART-0010-HD-color9-men.jpg|ART-0010-HD-color9-women.jpg|ART-0010-HD-color10.jpg|ART-0010-HD-color10-men.jpg|ART-0010-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.9,8,8,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0011-HD,ART-0011-HD,سفر تابستونی دسته جمعی,publish,product,product,variable,طبیعت گردی>تابستان,#سفر|#ماشین,120000,,120000,no,instock,ART-0011-TS-color1.jpg|ART-0011-TS-color1-men.jpg|ART-0011-TS-color1-women.jpg|ART-0011-TS-color2.jpg|ART-0011-TS-color2-men.jpg|ART-0011-TS-color2-women.jpg|ART-0011-TS-color3.jpg|ART-0011-TS-color3-men.jpg|ART-0011-TS-color3-women.jpg|ART-0011-TS-color4.jpg|ART-0011-TS-color4-men.jpg|ART-0011-TS-color4-women.jpg|ART-0011-TS-color5.jpg|ART-0011-TS-color5-men.jpg|ART-0011-TS-color5-women.jpg|ART-0011-TS-color6.jpg|ART-0011-TS-color6-men.jpg|ART-0011-TS-color6-women.jpg|ART-0011-TS-color7.jpg|ART-0011-TS-color7-men.jpg|ART-0011-TS-color7-women.jpg|ART-0011-HD-color8.jpg|ART-0011-HD-color8-men.jpg|ART-0011-HD-color8-women.jpg|ART-0011-HD-color2.jpg|ART-0011-HD-color2-men.jpg|ART-0011-HD-color2-women.jpg|ART-0011-HD-color5.jpg|ART-0011-HD-color5-men.jpg|ART-0011-HD-color5-women.jpg|ART-0011-HD-color9.jpg|ART-0011-HD-color9-men.jpg|ART-0011-HD-color9-women.jpg|ART-0011-HD-color10.jpg|ART-0011-HD-color10-men.jpg|ART-0011-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,خانم‌ها,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,سرمه‌ای,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.4,5,5,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
ART-0012-HD,ART-0012-HD,روز زن گلگون,publish,product,product,variable,لحظه‌های خاص>روز زن,#گل,120000,,120000,no,instock,ART-0012-TS-color1.jpg|ART-0012-TS-color1-men.jpg|ART-0012-TS-color1-women.jpg|ART-0012-TS-color2.jpg|ART-0012-TS-color2-men.jpg|ART-0012-TS-color2-women.jpg|ART-0012-TS-color3.jpg|ART-0012-TS-color3-men.jpg|ART-0012-TS-color3-women.jpg|ART-0012-TS-color4.jpg|ART-0012-TS-color4-men.jpg|ART-0012-TS-color4-women.jpg|ART-0012-TS-color5.jpg|ART-0012-TS-color5-men.jpg|ART-0012-TS-color5-women.jpg|ART-0012-TS-color6.jpg|ART-0012-TS-color6-men.jpg|ART-0012-TS-color6-women.jpg|ART-0012-TS-color7.jpg|ART-0012-TS-color7-men.jpg|ART-0012-TS-color7-women.jpg|ART-0012-HD-color8.jpg|ART-0012-HD-color8-men.jpg|ART-0012-HD-color8-women.jpg|ART-0012-HD-color2.jpg|ART-0012-HD-color2-men.jpg|ART-0012-HD-color2-women.jpg|ART-0012-HD-color5.jpg|ART-0012-HD-color5-men.jpg|ART-0012-HD-color5-women.jpg|ART-0012-HD-color9.jpg|ART-0012-HD-color9-men.jpg|ART-0012-HD-color9-women.jpg|ART-0012-HD-color10.jpg|ART-0012-HD-color10-men.jpg|ART-0012-HD-color10-women.jpg,تیشرت|هودی,هودی,1|1|1,خانم‌ها|آقایان,آقایان,2|1|1,|ملانژ|مشکی|زرشکی|نارنجی|سرمه‌ایسفید|خاکستری|آبی|زرد|سبز خاکی,زرشکی,3|1|1,M|L|XL|2XL|3XL,L,4|1|1,۱۰۰ درصد نخ پنبه,5|1|0,چاپ دیجیتال با دوام جوهرافشان با استفاده از تکنولوژی مدرن DTG,6|1|0,جهت شست و شو لباس را پشت و رو کرده و با آب زیر ۴۰ درجه بشویید، ترجیحا از پودر صابون جهت شست‌ و شو استفاده کنید,7|1|0,هودی,8|1|0,4.9,8,8,instock,<img src='https://artshirt.ir/wp-content/uploads/sizechart/TS-Size-Chart.jpg' style='display: block;margin-left: auto;margin-right: auto;'/>,<ul><li><span style='font-size: 12px; color: #808080;'>جنس ۱۰۰ درصد نخ پنبه</span></li><li><span style='font-size: 12px; color: #808080;'>چاپ دیجیتال با دوام با استفاده از تکنولوژی مدرن DTG</span></li></ul>
